"","Country","Gini","Homicides","gdpGrowth","gdp","extremePoverty_perc"
"6","Albania",30.1,2.289492444,4.276325654,1.5156e+10,0.1
"10","Argentina",41.3,5.380834356,-3.601609757,5.2482e+11,1.4
"11","Armenia",34.4,1.693915557,4.952230836,1.2458e+10,1.4
"14","Australia",34.3,0.887616041,1.302840712,1.4285e+12,0.5
"15","Austria",30.8,0.967228608,2.003552524,4.5517e+11,0.6
"22","Bulgaria",41.3,1.304666594,3.428724777,6.6363e+10,0.9
"26","Belarus",25.2,2.39087279,3.369991519,6.0031e+10,0
"29","Bolivia",42.6,4.791625929,2.752163602,4.0288e+10,4.9
"30","Brazil",53.9,26.72467739,0.988960033,1.9169e+12,4.7
"38","Switzerland",33.1,0.586468024,2.161569653,7.3554e+11,0
"41","China",38.5,0.527090789,6.251700556,1.3895e+13,0.3
"46","Colombia",50.4,25.3438026,1.012856042,3.342e+11,4.2
"49","Costa Rica",48,11.70130353,1.600140073,6.242e+10,1.5
"54","Cyprus",32.7,1.261286411,4.411385807,2.5523e+10,0
"56","Germany",31.7,0.947976619,0.782690047,3.9773e+12,0
"59","Denmark",28.2,1.008321959,1.485085157,3.5684e+11,0.2
"60","Dominican Republic",43.7,10.04973395,5.834537488,8.5555e+10,0.4
"67","Ecuador",45.4,5.818187267,-0.483429078,1.0756e+11,3.3
"71","Spain",34.7,0.618938273,1.841757858,1.421e+12,0.9
"72","Estonia",30.3,2.116541299,3.772023311,3.049e+10,0.2
"76","Finland",27.3,1.557241763,1.00788071,2.7572e+11,0.1
"78","France",32.4,1.198636503,1.585878806,2.791e+12,0
"83","Georgia",36.4,2.223362494,4.883854929,1.7597e+10,4.5
"90","Greece",32.9,0.940863945,1.874903163,2.1205e+11,0.1
"98","Honduras",48.9,38.9255911,2.128163573,2.4068e+10,15.8
"100","Croatia",29.7,0.577421797,3.823527345,6.2248e+10,0.4
"102","Hungary",29.6,0.885912771,5.493163302,1.6059e+11,0.2
"112","Ireland",30.6,0.809347927,7.687745795,3.8504e+11,0
"113","Iran, Islamic Rep.",42,2.194371056,-3.599740903,3.3099e+11,0.5
"116","Israel",38.6,1.383999321,1.999231494,3.7364e+11,0.2
"117","Italy",35.2,0.592142572,1.11781662,2.0919e+12,1.5
"123","Kyrgyz Republic",27.7,2.918770151,1.713209106,8271108638,0.6
"144","Lithuania",35.7,3.284224655,4.990353856,5.3751e+10,0.9
"145","Luxembourg",35.4,0.496488174,0.055731942,7.1285e+10,0.3
"146","Latvia",35.1,4.355804966,4.802866946,3.4429e+10,0.3
"151","Moldova",25.7,4.096792902,6.109432583,1.1457e+10,0
"155","Mexico",46.7,29.07106162,1.050314217,1.2224e+12,2.7
"158","North Macedonia",33,1.200216807,2.795615119,1.2683e+10,3.4
"160","Malta",28.7,1.593607358,2.395448131,1.5301e+10,0.1
"163","Montenegro",36.8,2.229998901,5.102544398,5506944403,2.9
"164","Mongolia",32.7,6.182547929,5.827151207,1.3178e+10,0.5
"177","Netherlands",28.1,0.58618159,1.764937264,9.1404e+11,0.1
"178","Norway",27.6,0.468343712,0.453550486,4.37e+11,0.3
"185","Pakistan",29.6,3.88308273,3.989898721,3.5613e+11,3.6
"186","Panama",49.2,9.600494916,1.945103415,6.4929e+10,1.7
"187","Peru",42.4,7.665071392,2.198139608,2.226e+11,2.7
"188","Philippines",42.3,5.298571156,4.86730873,3.4684e+11,2.7
"191","Poland",30.2,0.7304547,5.353914202,5.8741e+11,0.2
"196","Paraguay",46,7.144839995,1.883631824,4.0225e+10,1.3
"202","Romania",35.8,1.281649698,5.090111107,2.4146e+11,2.4
"203","Russian Federation",37.5,8.209475626,2.815525692,1.6573e+12,0
"212","El Salvador",38.6,52.11237334,1.91195325,2.6021e+10,1.5
"215","Serbia",35,1.226890579,5.067594881,5.0641e+10,2.9
"222","Slovak Republic",25,1.136985269,3.650746342,1.0561e+11,0.2
"223","Slovenia",24.6,0.481269937,4.044587379,5.4164e+10,0
"224","Sweden",30,1.083072677,0.772577449,5.5546e+11,0.7
"227","Seychelles",32.1,9.269367829,2.218749465,1636310049,0.5
"245","Turkiye",41.9,2.615979652,1.449522518,7.7847e+11,0
"251","Uruguay",39.7,12.17641892,0.109558006,6.4515e+10,0.1
"252","United States",41.4,5.005865811,2.378479223,2.0527e+13,1
